LastName;FirstName;MiddleName;Birthday;Snils;Inn;Oms
Преданный;Эпицентр;Насреддинович;14.01.1939;88847095692;099162751050;6211998060642011
Оккультный;Горизонт;Сократович;18.05.1906;27086788018;528752607307;6731994082259018
Ревущий;Покой;Кубрикович;29.03.2014;81673103896;666866111370;6211984011868533
Монструозный;Разум;Байесович;17.06.1938;15015814022;137152220816;3651982011704090
Гневный;Шёпот;Юлиевич;29.06.1950;28898735986;429792902509;4851994040340362
Стимулирующий;Отголосок;Тацитович;25.08.1961;38980544545;807942553290;2301997112173033
Звёздный;Пепел;Розенкранцович;29.09.1909;46171036664;529892262118;1041999011793256
Самоотверженный;Базис;Платонович;14.01.1976;39100433339;908627664803;6451992072457475
Утепляющий;Знак;Платонович;26.07.2017;43348340068;489098879369;4651991021818533
Мистический;Кулон;Паскалевич;16.08.1956;48338880033;407843507790;0601999010822795
